,m_c18p_0001,m_c18p_0003,m_c18p_0004,m_c18p_0007,m_c18p_0009,m_c18p_0011,m_c18p_0015,m_c18p_0021,m_c18p_0022,m_c18p_0026,m_c18p_0027,m_c18p_0028,m_c18p_0032,m_c18p_0037,m_c18p_0038,m_c18p_0039,m_c18p_0044,m_c18p_0046,m_c18p_0047,m_c18p_0049,m_c18p_0055,m_c18p_0056,m_c18p_0061,m_c18p_0063,m_c18p_0067,m_c18p_0068,m_c18p_0080,m_c18p_0081,m_c18p_0096,m_c18p_0097,m_c18p_0098,m_c18p_0106,m_c18p_0108,m_c18p_0114,m_c18p_0115,m_c18p_0118,m_c18p_0120,m_c18p_0122,m_c18p_0126,m_c18p_0129,m_c18p_0131,m_c18p_0135,m_c18p_0137,m_c18p_0139,m_c18p_0155,m_c18p_0158,m_c18p_0160,m_c18p_0161,m_c18p_0163,m_c18p_0170,m_c18p_0172,m_c18p_0178,m_c18p_0182,m_c18p_0190,m_c18p_0199,m_c18p_0210,m_c18p_0220,m_c18p_0222,m_c18p_0223,m_c18p_0230,m_c18p_0233,m_c18p_0234,m_c18p_0238,m_c18p_0239,m_c18p_0240,m_c18p_0241,m_c18p_0244,m_c18p_0253,m_c18p_0257,m_c18p_0265,m_c18p_0269,m_c18p_0270,m_c18p_0274,m_c18p_0276,m_c18p_0280,m_c18p_0281,m_c18p_0284,m_c18p_0290,m_c18p_0297,m_c18p_0298,m_c18p_0300,m_c18p_0301,m_c18p_0302,m_c18p_0305,m_c18p_0309,m_c18p_0311,m_c18p_0318,m_c18p_0322,m_c18p_0326,m_c18p_0327,m_c18p_0329,m_c18p_0334,m_c18p_0341,m_c18p_0349,m_c18p_0353,m_c18p_0355,m_c18p_0356,m_c18p_0360,m_c18p_0363,m_c18p_0374,m_c18p_0375,m_c18p_0378,m_c18p_0380,m_c18p_0392,m_c18p_0395,m_c18p_0397,m_c18p_0402,m_c18p_0403,m_c18p_0418,m_c18p_0426,m_c18p_0428,m_c18p_0430,m_c18p_0432,m_c18p_0438,m_c18p_0441,m_c18p_0442,m_c18p_0447,m_c18p_0456,m_c18p_0469,m_c18p_0475,m_c18p_0500,m_c18p_0501,m_c18p_0527,m_c18p_0530,m_c18p_0572,m_c18p_0574
4055_1,1363,13972,252,7871,49415,172935,172479,29208914,5497698,4209,73407,248033,575295,575023,166179,3941297,1177160,10816,33263,63047,4656712,46644,6224,28559,759304,1651493,2805796,18658,19670,49789,32571,25542,231,45881,357021,19166,14948,32553,20748,364938,63010,264257,151634,6364,61552,6461,19720,54112,306049,619930,353995,2356534,15327,33443,71632,15484,3468713,61877,16729,7678,10579163,28489300,13976,16203,25636,45032,11569,118369,19491,5930,6142,7535,22340,357713,80884,91863,72746,1320457,280965,1245322,534603,7225702,7149,87840,10766,11825,139867,61939,206417,2663,9692,4232,19072,46262,914457,17370386,9045,36189,307703,13676,610486,27897,665,10948,637,41681,66656,937,415598,1181236,8,575234,737,1756,23227,180503,687844,13157,2595,1558020,490,4896,171,75103,6955,17046
4055_2,0,18003,209,9359,43612,151108,218389,29286828,5871725,4526,95124,297603,653282,565654,156292,4949728,1510804,11213,35754,69530,5426703,41206,6060,23596,633754,1901518,4581336,30530,21727,41668,36286,31387,0,37692,420570,20186,13432,35014,13230,362834,58066,430381,95274,6961,55928,8477,15351,44318,317345,654779,348938,2465879,8900,23448,66352,20481,2939722,64692,2035,7778,10630299,29076300,11369,60617,64926,158745,2006,115729,32809,6561,4733,41482,18970,337264,64318,93378,82921,1110289,232867,685063,509615,7533574,5440,76190,10864,10733,128799,58995,276467,4720,11292,4411,28717,41762,747398,15554525,7040,36871,236265,33063,372091,22990,934,8785,0,42979,60560,0,456283,1169899,11093,731424,1036,668,25408,224156,515337,14163,3283,1107246,137,3531,0,55903,6407,25349
4055_3,1511,13481,518,12044,35514,134583,180171,32000058,6443512,4646,65027,290386,655441,620989,230780,4813131,2049606,13495,33482,77062,4092415,41543,2996,28781,739363,1520666,2691626,20323,10926,43944,44974,27033,0,38232,391010,20621,13757,44108,18061,447179,63533,261857,98266,5814,54983,9650,18521,53411,297303,617663,327832,2934859,13202,36596,61905,23588,3099311,62086,13103,8938,12083139,33811224,10451,46427,58331,155212,17029,107114,66250,7634,3607,28892,25888,408628,95067,107443,98792,675145,183118,1044356,380779,8814339,6702,90687,4132,14067,137083,81660,289154,4113,9627,2201,19209,46436,639933,19533088,6259,48277,302106,8477,541200,26677,874,7424,353,28230,53163,0,511750,1728370,41,558667,577,2363,32559,175257,538671,15028,3230,1035922,0,4483,0,85973,6873,35690
4055_4,6333,8676,419,8237,53861,164348,384163,28609292,6418732,3782,126445,233354,528930,499473,172424,3768720,1147634,7108,28201,57404,3911298,37927,21382,36024,557557,1879645,2802255,11593,14927,62405,54625,22627,0,34973,662175,18294,9013,34624,17561,508673,80956,273501,88891,6840,50948,8188,24021,34064,359152,604150,378555,2011834,14475,17939,52628,17291,3534832,65737,3249,10460,9420375,25903882,23338,18254,36567,45355,1460,115269,75907,5204,4387,12654,20453,318133,90201,84523,65858,938672,381272,2336280,286846,5742221,14693,57407,7146,11825,231230,61599,163601,2426,10090,2456,26958,24637,1273498,11775644,10515,35028,249343,9822,506870,26521,2121,9011,469,24873,39484,1144,331695,737296,383,266609,274,896,22055,95528,660736,11626,2489,1483650,0,2130,196,76009,10629,15668
4056_1,2568,11459,746,13873,151707,326775,40181,40117312,7991138,10343,158339,198276,533590,797898,212277,5111844,1564828,7277,60552,76534,5802294,54555,7803,39910,682046,1565691,4415454,14579,30356,42610,38968,51471,0,44633,421624,24630,17117,26683,42480,823237,122941,224544,55221,9564,152510,94815,25062,47514,664114,843767,400909,2879642,4736,62768,42114,15322,4167035,136102,37851,29715,16931190,46269636,285,1031,7727,19449,7756,132631,55233,8192,7094,254387,126732,313860,44272,173014,105548,469365,37193,137233,1085974,9422580,3070,702044,38155,16757,396322,90369,239411,18095,11021,367,13715,52154,340973,31593162,5196,37830,447478,23585,267869,43288,1177,7696,2770,35644,42757,1747,868731,358068,0,636503,1236,282757,19766,147126,1049591,11719,44478,2586653,454,69627,93,606060,13634,24192
4056_2,1820,5997,432,10976,121126,422317,25672,38301528,9089477,9006,159829,206913,553975,835781,208532,4806930,1724770,9628,59051,73236,6377978,43650,5439,31023,780772,1561809,4298196,15443,11407,27327,55433,60830,464,43674,479021,23021,15968,47245,37830,874395,84240,170394,58382,7883,105467,46708,29002,53547,660972,854303,430991,2727331,4083,63806,45109,18835,4197242,128930,38877,30906,16628580,45103384,317,0,9449,26220,6726,142870,47067,9401,5637,106690,77632,272325,44579,174952,99179,400301,36977,87712,1096024,9021161,4434,517677,47309,16711,163711,87803,106720,20798,13632,1412,9451,47465,293603,31758166,4027,35049,437278,33901,244389,44273,1067,10498,2023,32320,54250,471,847925,418095,409,351033,116,173986,11573,91201,1028100,11671,29986,2435830,256,58594,0,244284,8290,21541
4056_3,1771,6071,893,12953,131364,255028,26538,35302148,6644487,11872,148126,212773,588388,824001,179241,5017942,1962724,8404,59433,85470,6303404,44623,11127,33075,693519,1568652,4586411,11155,16603,28035,36781,53705,413,40718,372027,26195,12184,14739,34414,637790,90005,247461,71245,4121,99042,25019,32410,56824,599858,918706,410327,2652866,6319,49698,47620,14975,4317994,134350,38860,29040,17079588,47723276,5808,57041,59278,154777,6186,127204,30399,8407,3406,239563,111143,319349,44553,183757,87761,632942,97132,368073,1097518,10061131,8572,622310,35290,22743,309680,65383,223920,21352,10400,675,42577,44963,115933,30951314,6118,36338,497904,9608,190733,47784,1805,15071,1099,32706,49898,1701,1127323,360118,0,435544,287,259541,13263,88871,707216,10067,35139,1606164,676,56812,0,503945,13747,21727
4056_4,989,5057,811,19835,154104,264389,38329,41820000,8305460,9430,201545,322946,628869,996838,204856,5930428,2139854,7085,50551,85902,6357380,50015,17164,57675,836466,1817896,4403468,13288,39434,60507,46474,66798,0,59847,477926,34456,11556,29247,45186,1111981,143807,247694,71340,7009,123540,24668,70740,61356,654938,946650,418625,3430508,3402,76927,54055,16236,4161981,127644,49299,32159,19700636,57869712,44460,27406,67115,82536,7214,142244,34362,10541,4774,58855,144641,329041,52324,189785,110805,918642,199686,1202273,1200460,11088193,25187,550454,51718,16289,498625,70970,224605,22603,14315,1541,75658,55591,882186,37603516,7936,45304,599756,12293,418473,48121,2784,22677,1827,33592,60599,1133,804523,394019,0,401869,258,482393,11487,74418,1219523,12844,43147,2836743,366,67260,0,559103,16984,12311
4057_1,892,4918,1126,11331,68613,159446,24959,35616592,6592237,11566,103206,281942,608636,762845,136744,5249616,745662,13451,58128,70762,4735497,40017,1063,30530,946592,1261000,5509794,18185,25777,24066,40495,38986,0,44992,173041,26875,15151,9968,37805,531028,79279,249569,44567,6221,110369,59401,30995,54355,386412,871557,289047,2659680,2294,56414,48356,13233,3899710,148634,36565,39667,13630113,38543468,4452,0,11440,16156,7627,94412,18091,5535,3103,160081,72268,386402,23127,134040,72687,137390,67780,402120,3108354,8044300,7498,605602,40147,17614,180360,56813,583087,11190,9571,697,44759,43541,60165,26471076,3083,37938,300157,13484,117028,32348,2564,3373,677,18433,44536,776,925890,161461,0,283353,164,162006,4153,85642,1100503,11578,19926,2835390,333,46332,0,305196,7516,20975
4057_2,1206,5437,992,12632,84205,150551,24649,35796780,6410606,10136,99852,281468,695174,761755,122830,5347176,538732,11701,65558,67936,5267198,38419,1330,23610,864836,1269712,6063550,18873,24983,21229,30873,34489,0,40934,176396,30038,15305,11580,37343,515491,61594,221050,54910,4795,64821,43480,34603,46889,412720,842706,249232,2568611,6222,58902,39304,13873,3780624,144837,38233,43992,12285337,36838072,1626,25424,35700,95265,7033,83503,17285,6939,3823,154352,64447,373464,29061,125808,77394,77081,42545,162207,3416533,7929170,1827,388481,39087,18271,153785,60946,545281,14185,8692,817,38608,52732,109790,29557802,1131,41317,347089,26957,134702,32684,732,4222,2405,15832,44511,701,977131,87525,0,375986,106,183117,5022,96952,1075879,13521,23557,2673844,268,48781,0,260217,6476,19306
