,m_c18p_0001,m_c18p_0003,m_c18p_0004,m_c18p_0007,m_c18p_0009,m_c18p_0011,m_c18p_0015,m_c18p_0021,m_c18p_0022,m_c18p_0026,m_c18p_0027,m_c18p_0028,m_c18p_0032,m_c18p_0037,m_c18p_0038,m_c18p_0039,m_c18p_0044,m_c18p_0046,m_c18p_0047,m_c18p_0049,m_c18p_0055,m_c18p_0056,m_c18p_0061,m_c18p_0063,m_c18p_0067,m_c18p_0068,m_c18p_0080,m_c18p_0081,m_c18p_0096,m_c18p_0097,m_c18p_0098,m_c18p_0106,m_c18p_0108,m_c18p_0114,m_c18p_0115,m_c18p_0118,m_c18p_0120,m_c18p_0122,m_c18p_0126,m_c18p_0129,m_c18p_0131,m_c18p_0135,m_c18p_0137,m_c18p_0139,m_c18p_0155,m_c18p_0158,m_c18p_0160,m_c18p_0161,m_c18p_0163,m_c18p_0170,m_c18p_0172,m_c18p_0178,m_c18p_0182,m_c18p_0190,m_c18p_0199,m_c18p_0210,m_c18p_0220,m_c18p_0222,m_c18p_0223,m_c18p_0230,m_c18p_0233,m_c18p_0234,m_c18p_0238,m_c18p_0239,m_c18p_0240,m_c18p_0241,m_c18p_0244,m_c18p_0253,m_c18p_0257,m_c18p_0265,m_c18p_0269,m_c18p_0270,m_c18p_0274,m_c18p_0276,m_c18p_0280,m_c18p_0281,m_c18p_0284,m_c18p_0290,m_c18p_0297,m_c18p_0298,m_c18p_0300,m_c18p_0301,m_c18p_0302,m_c18p_0305,m_c18p_0309,m_c18p_0311,m_c18p_0318,m_c18p_0322,m_c18p_0326,m_c18p_0327,m_c18p_0329,m_c18p_0334,m_c18p_0341,m_c18p_0349,m_c18p_0353,m_c18p_0355,m_c18p_0356,m_c18p_0360,m_c18p_0363,m_c18p_0374,m_c18p_0375,m_c18p_0378,m_c18p_0380,m_c18p_0392,m_c18p_0395,m_c18p_0397,m_c18p_0402,m_c18p_0403,m_c18p_0418,m_c18p_0426,m_c18p_0428,m_c18p_0430,m_c18p_0432,m_c18p_0438,m_c18p_0441,m_c18p_0442,m_c18p_0447,m_c18p_0456,m_c18p_0469,m_c18p_0475,m_c18p_0500,m_c18p_0501,m_c18p_0527,m_c18p_0530,m_c18p_0572,m_c18p_0574
4027_2,1599,15011,593,7629,58929,262100,242514,35900788,8289308,12009,60961,274012,421481,1023066,201327,7362696,4079102,8191,69593,86595,5185352,47891,2211,35728,50754,1297969,4756372,27117,41600,36257,44041,58832,0,53607,1431840,22853,33490,154596,37932,1064698,63508,617273,137228,7162,50073,12598,12896,58050,569529,811404,735870,1789571,9070,75114,111671,23163,3845384,157245,88548,22934,15979641,42242964,20029,18168,35952,63126,6931,168111,34182,9320,18349,383875,178018,537850,377500,151665,131554,399392,606954,2245570,1593956,6776602,11851,639338,6400,24292,576680,27999,544639,7759,16925,1576,30204,59631,183822,25357658,4453,165253,455468,60134,226536,43555,2100,62785,237,21588,48290,1150,993047,421735,532,706725,504,9340,12298,169934,1653313,20498,1890,37418,4213,14326,207,129601,29094,31838
4027_3,1131,5583,1625,9254,120042,163501,173721,30087570,6459262,12151,61891,204651,620814,981433,190286,7962234,3190594,9226,71596,74968,5074801,40944,409,28472,319652,1450385,4600523,25722,41343,44107,59806,65936,268,52379,1221208,20746,24244,150195,24769,1133927,78226,443872,117977,7089,78107,13822,15778,56163,517438,749376,711234,1293586,6140,77552,112506,21346,3749042,161511,19267,20418,14011290,36618708,0,1444,7952,23692,1222,163674,30059,9386,14380,106119,228038,510113,395474,126524,121704,791184,177769,448272,1198407,6535166,4136,712464,6951,27516,788825,46669,464751,5068,15979,1629,33646,54494,149328,22041526,5942,145699,465165,43157,240736,41240,3996,49099,0,14739,44136,1155,1219538,903389,1096,278859,456,14024,5349,66867,1223905,19214,3738,36256,3265,16888,0,185082,34158,35243
4027_4,1425,19371,591,10131,105936,142386,235018,27031210,5099055,12952,96415,280407,658172,895950,148260,7974256,969454,6323,78776,81487,3685412,39399,2362,40034,417959,1722785,5010088,29000,46435,41047,27836,64717,0,40160,1014439,19876,21912,86733,35758,659374,75291,554718,43320,4382,60021,12366,16633,52836,504854,823674,600415,1448590,11053,63113,98759,20704,4444510,166714,20476,18564,12699227,34535820,19007,84994,112840,267894,6492,131807,39562,9307,13199,132590,220686,569959,366464,111687,101684,663886,502735,1478146,1493502,5996774,13570,751110,6840,33140,769774,45569,1154101,4065,17376,2856,47908,59420,78497,21709988,4059,138200,412097,34503,148895,31694,1796,94877,0,23716,28459,1613,1626341,467431,542,851520,275,7721,5133,223494,714069,20145,3093,9477,3777,22031,13,183282,34590,20710
4028_1,395,9767,1835,13581,158054,277477,26344,41681804,8311596,9668,89359,320901,852864,683202,174507,7703032,3774403,8661,58240,84975,5489507,47695,3426,36302,835226,1000070,3976319,12186,30058,31728,52045,34634,0,31474,546641,27909,17401,19884,34652,655022,100328,201011,57616,5654,151560,33067,23527,49136,433311,801198,425048,2872676,5130,59305,42589,12815,2653348,134525,42164,14580,16643635,48714984,0,15649,29124,86719,7218,128274,77256,10436,5633,96987,137942,351977,32084,124964,117954,2384958,59155,249158,1085958,9172142,4059,753076,8176,20847,420445,58942,200125,4023,9926,12849,30668,43314,37569,37560476,16741,55199,614612,48932,144002,43190,769,3685,4643,30877,60976,462,1086119,306156,0,389087,253,794316,13359,143766,904497,13069,42116,2076668,210,54085,211,658764,15292,22769
4028_2,1494,7574,2444,10697,144145,310176,25664,42358152,8799345,14256,61343,345564,775025,634451,188121,7691646,3647129,7429,64678,87910,5227775,36624,1506,24411,1008635,954148,3827130,13022,24348,16333,47718,32449,0,36537,579229,28270,16524,6793,43556,663807,62154,204519,70446,6924,91583,12993,18772,48249,414189,822698,432184,3032686,4713,51812,50337,12471,3017283,139074,45874,15165,16713980,47847084,0,6097,21581,62478,6021,142960,85685,12148,6526,78786,76907,344789,60639,137491,111096,3045293,52506,198227,1171606,8824085,1447,390603,9187,17182,162147,69358,108090,2831,10671,9350,16617,51711,76285,36232048,17483,55355,625237,9097,174540,43298,1883,2057,1651,33119,62823,373,833505,96294,0,346494,224,519944,23625,140892,1458126,14010,32271,3426502,590,39208,137,242456,7071,17391
4028_3,1169,3773,910,10833,167198,225109,30995,38933428,6744810,10490,63374,312377,843356,659023,182446,9205078,518577,6500,60507,94957,5359532,40106,4584,27615,968489,1138144,4101699,13407,24826,26199,56565,36667,0,39763,417003,28992,16691,12406,41035,750814,75506,237351,61042,8553,109068,31580,16739,37703,508184,797300,403162,3286087,2126,52307,47972,10478,3959584,129815,38731,14303,15144419,43919664,212,4037,14174,42731,4862,123548,33155,9273,7363,174141,85649,294952,47795,133210,90312,1467963,39346,78194,1008506,9028143,1445,637795,5226,20810,251527,52957,166874,2947,10701,7560,9111,43228,37818,32352784,12018,43552,465645,10772,138486,37122,791,3374,2533,32639,54817,1396,1148172,122700,0,166351,133,431062,14900,80999,917315,11251,49072,2135359,218,46062,0,404077,9027,17995
4028_4,955,11083,522,8887,134032,260550,23232,42034588,7546156,8677,60073,301181,888444,578014,167420,8995929,2362671,7818,54409,84160,4565833,45708,935,20636,924504,1102034,3251975,12034,20572,18550,31533,36322,0,34562,517434,26053,17849,17816,41077,792995,50520,239287,57292,4529,86723,18371,22918,40454,481367,787550,407314,2958325,2877,55785,48338,11256,3553304,141341,37718,17234,15892767,45162164,479,7530,26817,59481,4243,124532,23232,9241,6774,63857,67017,349888,47458,128955,89346,1241295,41484,127287,1198378,9049764,2985,388535,6756,20541,145147,59754,147817,3667,9772,7359,6752,50411,61561,33912032,11172,45808,506277,61932,154987,38851,1552,4081,2150,16128,52141,507,942748,128751,0,552722,0,206102,7452,138693,1193101,11193,33606,2763906,192,42581,142,225688,6475,13539
4029_1,1183,2819,148,20002,50872,133765,173149,29829856,9508795,12558,82741,210729,447509,1255189,173626,5919458,1336464,12433,81638,78554,5164255,38092,4053,34804,540818,1212196,12755241,51686,48691,51774,32505,86204,0,49725,213390,25567,24100,46275,34037,688189,75772,668586,116745,4245,81442,14912,12865,64266,907301,1024144,707158,1352675,7241,91787,100331,21283,4380370,166159,4811,16701,15912447,40985120,0,478,238,7669,7386,166311,49680,6837,8344,143051,314134,488102,464830,122271,133499,2309112,30996,32308,49030,6015887,787,878352,13778,35706,1092311,40040,3438304,6819,17366,2277,15711,54585,127985,28733580,12096,162236,344410,51042,197859,40917,1229,25870,798,19092,40947,91,1565976,1084564,275,97560,331,18802,1575,16556,843506,16323,1872,20723,4437,23112,0,291663,46277,37750
4029_2,489,6822,1377,20674,52320,110778,225453,30781406,9769060,11666,95556,212444,525436,1216202,190900,7186087,1857514,18846,72243,82771,5642460,39447,9211,46390,490660,1168105,13185193,49743,54669,71521,26467,82126,0,49235,235646,24224,20936,46605,36719,688001,103500,787192,114232,2768,96369,13120,19973,67945,691161,1022653,593489,1438228,9454,86637,94095,17719,4027871,153032,4451,17575,14943059,39889624,0,0,1598,6896,4248,136480,29876,7769,7103,179298,428777,514672,312876,124734,121176,2703780,36570,182758,111482,6186660,6733,1211277,9790,36893,1497784,32730,3360450,5730,19520,6540,70354,57232,149225,28634842,11576,173817,327972,57702,238573,38556,1452,33079,1185,17531,36779,1540,1356627,679448,482,291929,179,11796,1658,65761,818428,19281,1370,11669,3681,30489,512,403560,64958,29449
4029_3,1333,1711,1351,20720,90144,131578,43235,34558128,6535247,9848,66160,221887,600317,901012,131730,5654253,1287300,15312,53503,78549,5595668,51655,6272,29259,552957,865098,9450253,19103,26860,40295,53377,49856,0,31599,150783,35035,7279,30548,23884,691910,82282,470510,57763,2523,126288,46232,16440,54980,704605,1023464,261830,2444384,8978,43064,37745,12810,3768044,129328,44759,31955,12383564,42415376,0,522,0,2231,1935,88110,16222,6213,5737,56272,98660,318592,31234,133792,88799,1100862,18677,40032,15230,5820277,1586,475950,13156,23074,413376,50423,728849,7740,10016,1980,13598,42425,151260,27680720,10157,35825,353701,13142,251632,25062,2179,4699,808,21471,52436,1192,1243650,924921,0,71321,323,646186,8429,13093,384685,10483,29488,826855,85,56283,0,417423,14825,26483
4029_4,235,3925,2805,23764,45997,109082,154063,28480430,8477632,12252,78725,179033,511209,1176932,171266,6408292,1325419,18514,69654,68150,4638688,30800,3110,29864,761818,1205156,11691327,38337,39719,54963,19512,77965,0,43178,176668,25637,21361,62475,38317,772603,90206,636129,124598,4160,103772,11797,21247,70890,799980,1023003,623844,1558528,983428,85158,89171,17451,4450053,154411,4627,19609,13269082,35756440,0,340,5348,12223,264,137345,34465,7056,6447,24362,361659,540362,331755,134828,149144,1449580,51631,127129,48059,5250386,4259,952788,10614,38232,1259026,69622,4050187,6483,15375,1868,60470,56233,97928,27155826,8658,166710,346028,35513,218636,38639,2896,25073,213,15923,39572,3932,1558748,1056260,362,225557,309,15300,0,32466,514553,17816,2919,9436,4745,26650,134,375904,52231,34551
4030_1,1415,13813,1515,14448,70647,264926,169842,32456922,7835636,13142,99537,120837,405320,805792,101863,4715296,2062612,8670,74825,54624,5946144,30585,936,39603,208846,1630672,7291316,42613,53844,55937,27714,89596,0,58717,215587,16960,37849,90216,43890,783209,103957,301871,57670,5883,76841,16490,25317,70780,687850,630987,549465,1399513,8093,114886,79786,24958,4301874,163796,12602,27696,15784433,40974684,2153,545,9669,30231,1560,125072,103725,9210,8826,86169,400910,344488,1042719,85219,97843,167472,136817,222218,337506,5994560,3387,924722,21798,23118,1332679,63744,494858,6945,15928,1084,41973,50826,279590,25671180,1131,308173,442693,38707,197695,61607,699,211704,6,15615,35933,1948,1037768,790795,8,581030,198,25040,0,130189,1049987,28727,2174,20147,2008,17847,136,380343,55943,35365
4030_2,1498,5587,469,10404,75270,193905,223108,30531914,8295296,12450,114577,115488,378698,751374,109882,3613634,3555119,7559,74186,49232,6256084,33316,12811,37769,482340,1367686,9568515,51589,60103,72560,60731,83970,0,65430,174575,20540,39636,81914,33950,492623,122656,1340953,116634,4021,117969,13522,42078,61034,477466,539613,559692,1136479,10538,122228,72805,21612,2405007,163781,69351,23637,15860033,41859904,10275,53369,42940,120787,2832,131496,60408,10293,6188,164915,333469,328069,671801,74972,100121,97834,551447,513589,369401,6058306,9115,1079725,12525,24502,1132990,70464,167262,6823,18286,297,67657,55552,214814,21369234,1455,228049,484808,79117,111666,60207,1541,229794,224,15405,34805,1010,1129838,1148177,7,74994,0,35895,0,44612,1107910,30321,3521,22388,1017,25183,330,306544,45714,37411
4030_3,2525,1704,93,10282,94596,176401,53758,37617924,5987728,9179,42241,87185,294046,594194,61435,3543763,1455217,9492,48585,47344,5313141,26567,10264,23662,430755,1195131,6496482,19340,23168,21287,31295,55469,343,50750,145614,21976,9292,27925,35251,758644,64389,168500,70730,3741,54180,24933,19084,74239,465175,785393,138642,1713941,3481,57322,26908,14016,2888672,127067,45434,46768,11016896,35039512,22033,179611,125004,343989,6021,43322,85769,7923,5573,58035,54689,247023,57258,93915,62755,128017,332950,848674,146487,5801708,10847,174592,10202,16290,179953,64194,50657,5132,10667,740,13776,46940,499004,31672614,2638,99474,641795,195949,173856,34377,1036,42332,1597,20164,33569,1995,800156,684822,0,237168,393,412502,12829,47206,453410,13467,35672,1205263,1239,38714,0,179278,9148,33559
4030_4,3925,7799,1151,15839,61038,156262,145200,41860528,7923894,9049,127271,147768,480357,1076131,119044,7483712,609858,7854,61609,62750,4277238,22403,11124,49028,1113025,2007202,8762768,37456,58944,83604,25729,87061,0,66364,226624,18787,36801,46828,46980,759442,159427,577765,123559,5663,99240,17383,40213,70577,645611,923844,447407,1368104,7988,171714,74927,26404,4905192,120354,25117,22646,15230551,38630212,8493,47490,46679,127723,2322,98856,59883,7545,9843,320434,457024,445500,421443,107215,91231,446311,176360,680081,473579,6287871,7783,1219458,5121,39843,1685681,56580,291752,5117,14015,1728,128440,60888,409153,19877750,3672,316068,327695,46256,101269,59906,1255,237721,758,14197,34958,1934,1542628,487428,0,487284,192,20155,1162,110889,747604,26627,3333,19574,171,26528,0,464291,73851,22568
4032_1,1755,13821,752,8716,111497,350995,27877,38959140,7607580,9921,104565,305421,622036,724535,135159,4972016,3678550,7909,64250,82911,4481988,64269,1473,17974,898512,882785,6917572,19625,17922,12822,42058,50495,0,35255,668222,23581,15250,9849,40001,612867,40265,176290,21188,6475,61247,21994,11032,48336,370440,912860,382126,2646394,5510,53633,51854,12788,2968246,151697,40190,18565,15523316,43819148,44736,52303,76403,124012,4221,132516,36077,8580,10921,115580,47489,283307,29214,91326,54589,783527,397475,1559638,303521,10152570,21400,310363,16839,19517,94532,45771,144958,5597,9023,1667,17913,45004,83238,32053008,7636,35381,432740,27511,148076,39256,1993,14101,3391,38909,49210,1048,1042899,310100,4176,707787,550,49921,15116,196898,702305,11516,29429,1798958,560,25091,18822,128166,5329,23734
4032_2,3322,5354,616,14877,115657,368842,22625,37834200,7807274,8886,99752,353959,685834,677701,139090,5642789,1656068,9244,60298,93930,4817056,69608,6722,24068,616532,1033319,5972846,18695,19928,26886,34657,38796,0,35017,846607,25331,12458,41092,41505,801641,61313,210522,76994,10559,74441,27058,16609,45703,491031,868260,372821,2676496,5363,41858,42678,14709,3991171,133854,40685,17562,14433128,44545968,38857,49884,82861,146969,4777,128381,115485,7653,15838,133838,76794,316172,32504,97667,48185,583131,346091,1738155,391117,11488711,16482,378487,23022,18887,178442,66532,235964,5041,7228,1577,29676,48871,169018,35097520,6057,37966,481848,105767,227340,32570,2473,11374,1566,41272,49978,1163,980165,434102,0,432500,939,76967,15679,72283,516876,11085,38780,1405540,1009,55002,14034,271544,7001,22300
4032_3,1045,3729,495,12932,99354,265654,29433,31870834,6832482,11655,90446,341400,652418,724053,134075,5941419,1084386,9177,66631,90917,4677352,53017,6280,21781,549699,1087369,6822418,17993,11655,19370,35566,34704,0,38657,471151,24280,18587,26681,44489,745022,64406,185630,59103,5353,89546,29036,12787,41625,526517,891278,363099,2606948,5003,43946,48302,13554,4210700,153562,41555,18958,14861789,43089252,35171,21818,42353,45929,4528,119361,41778,11179,17606,134164,69816,317595,30791,98150,39954,393840,398404,1574302,217813,10092877,15703,418381,12599,25226,175526,68491,249308,4909,8139,1727,19880,45031,113824,34354184,5324,36082,553080,103080,162917,37582,2390,11421,2464,48114,46141,874,1368466,326431,446,369657,460,78754,7448,50300,524927,11380,32089,1412206,1004,34786,16257,288834,8432,22664
4032_4,990,11839,489,10252,102103,305063,22728,33665844,6422820,9632,87818,330931,658165,660609,128873,5756790,1010388,7173,63367,89346,4535205,66148,3728,25551,651090,1115509,6273898,21567,4935,12286,42887,37025,0,35654,493122,24654,16177,19093,39396,419481,41758,171265,57062,6304,73269,35723,12883,34556,457815,892295,347310,2441708,5651,36240,47960,14049,3981935,141073,39000,17420,14215963,40485236,29339,20704,32842,42041,6613,121866,23868,7814,15664,74742,43639,305491,34420,94942,59343,452626,317286,1135656,201433,9813299,12309,245449,19055,22377,80144,39614,221135,4548,8375,965,17322,42391,73024,33313362,4716,30319,397283,54910,147538,33221,1960,10522,1962,45145,46951,967,1151599,445819,389,472180,345,70967,7479,153680,562445,10465,25023,1546164,548,22960,14150,111011,4914,17199
4033_1,1326,17511,266,9044,47903,206371,220991,26222920,5468531,9255,121538,225715,480143,1178086,210265,4689625,1577576,12904,74537,71876,5130700,45769,4010,29435,89462,1538286,4431424,21737,49033,51500,34375,63768,1114,47456,825730,22483,22107,108048,23550,837165,77256,296124,97514,14286,73493,15589,19746,78554,578550,950437,676613,1379736,6286,78253,98204,20585,4827568,144809,23164,9022,14123879,38074484,1815,37708,43881,127616,5857,152792,27010,5560,5604,45021,268663,551108,297643,146626,216962,1005499,105696,299305,570544,5453917,3782,840042,14710,37220,931942,46134,188011,6443,17047,3384,52423,47823,198132,19258734,5140,84625,268780,36378,101544,46115,1274,39838,679,17526,46231,2243,1795104,2016068,926,685981,384,8489,5669,167121,2372692,17366,1497,45233,2868,23434,226,231465,41406,51916
4033_2,1985,9495,1391,7942,48403,202337,226087,28919008,5776268,12258,116776,201583,370243,1054864,210430,4649810,2089162,10225,65042,73799,5009412,41230,4252,57690,715681,1428169,5024983,28288,46326,46429,26168,67318,337,53910,1189732,20588,21745,109413,33804,859900,77915,287989,144777,9414,61573,14829,17355,82472,515488,992329,677870,2310665,6695,75125,106025,23635,4673794,147356,6147,9923,14049066,36690272,10219,72866,93156,252633,4099,152213,32466,6387,6728,573187,241171,534194,306370,143558,173670,616186,204668,979479,997095,5667250,7212,720931,9747,40805,838913,46248,184105,6558,18051,1754,51200,53087,222326,20787144,4692,83927,265240,57778,121672,46704,156,52755,1204,18185,46508,949,1640078,2490445,197,405790,109,4454,5826,72637,1566982,17626,2104,30403,2497,16345,3,206353,37588,52050
4033_3,1512,11466,933,10455,50238,168388,187935,24331336,5253296,10773,106431,242119,550809,1283090,214000,5090300,1485818,11291,72497,77604,5116648,52206,5952,30754,48420,1422123,4782358,22466,53345,50430,48875,69280,0,43738,1353968,28113,19580,96063,32745,733786,70516,329675,78812,7113,83799,9813,26899,81340,576981,1133351,615340,1734378,7228,72054,87425,24665,4873706,140828,4253,7559,13997809,37576788,2378,15496,30479,79371,4474,140093,61269,6054,7134,413022,269170,530115,299725,159395,223336,732781,114076,334495,4599140,5727294,5060,1028498,13554,53468,936651,46936,250764,8714,18282,3908,55526,43300,61727,22151242,3296,86824,287536,58189,102284,42764,3324,55522,168,34234,41761,478,2232696,1763160,432,333777,106,9605,16696,105698,1095524,17137,3937,19865,5361,16181,148,231115,42030,46936
4033_4,2528,10505,1452,15214,69367,153484,79715,25553264,5664459,11750,143292,305233,632026,1386710,231088,6840938,1909486,11559,81068,88018,5483610,43560,5232,27806,102014,1427418,5441470,29387,57165,53036,31389,67623,0,59859,1163770,23357,23736,120879,40992,1072724,76219,405988,109813,10590,91971,12413,30850,81410,469601,1035953,688140,1558395,7820,113192,86076,33816,3442402,149597,14662,8589,12815306,36918788,1105,36004,53789,145501,3406,156983,86572,5715,5445,48187,406541,598945,284001,166330,218604,2097138,134865,269621,4794952,6354998,5090,1115666,30296,53091,1395113,49472,576383,10953,7616,9020,27741,42650,43158,20799886,11964,126343,283023,44587,97915,41545,2111,48549,1363,22775,49598,1497,2132283,1801708,284,377774,0,10081,2364,73425,683116,17759,2044,12561,2332,19786,0,384902,58621,49685
4034_1,2170,10887,2067,11300,107987,247963,143688,31894438,6218306,9647,172614,213631,458672,905682,218732,4581558,1927118,7626,64406,74593,5211470,40486,18209,78396,41514,2491827,4551404,43613,68249,74925,36470,59828,0,60469,561433,24403,29359,60318,32442,700851,168668,634318,122505,13026,117828,13042,48245,84040,613913,824267,921252,1766646,7279,142825,92263,22457,4236744,130934,23798,17644,16574137,42448164,52456,70079,83662,129449,5975,202275,85325,9801,33885,335678,540772,530877,735070,128796,130907,1171223,1418819,6696040,4802006,6810412,36660,1719432,15043,31904,1789520,44917,249707,9220,22190,1884,105168,53909,83310,23327552,8537,283642,470680,72828,69088,52243,4223,150700,651,17315,71248,1044,1360819,321236,8,518243,120,23272,28005,141348,1353812,22930,3609,19136,1772,25040,115,511565,76427,36747
4034_2,2865,14440,2021,14239,85343,260533,436424,30823070,7610100,9675,146556,245499,544601,1032597,232355,4901374,2332746,7933,64180,77753,5588087,45344,10378,61301,468472,2493213,4984812,44053,65145,75887,47162,70905,419,61750,1004550,23740,27520,112357,38724,703486,132777,349603,55616,11317,110672,15208,38039,97915,703817,795738,974925,1634719,8681,113589,74857,28168,4756976,126624,20720,18396,17686236,45818820,29570,91040,109050,260365,5927,220512,188724,11533,43548,89153,556957,464822,1134716,115763,130131,1768863,681298,3148743,4946882,7404407,29667,1211400,16164,29402,1819172,76331,453538,5685,22152,1451,136797,59296,188054,26990614,10437,351700,557157,53739,128179,52741,2297,80606,347,14390,55626,1109,1286365,1450084,285,517572,421,38442,45529,146831,980723,23592,3912,21165,1744,17969,0,512441,81859,36858
4034_3,1786,4290,761,9991,168867,338484,41635,38493888,8674465,6251,101049,222081,523402,661044,194165,5150515,8369535,6252,49070,88738,5398641,59902,13324,52619,938683,1182150,3286066,15241,35336,50100,61711,53521,0,39194,1176794,28000,11145,39019,34961,767838,127083,161546,69212,6319,118213,34788,53258,76782,515442,882316,417114,2486054,4961,78997,38948,20524,2415042,99336,47638,31370,16035113,49885684,5284,3027,20660,39396,5865,137978,135921,7895,34961,91279,127202,300790,50057,155906,76930,563299,185704,650172,2266354,6611232,11279,406243,11295,16749,528391,77169,64591,7826,11103,256,68209,45283,459707,26342070,6197,67681,523094,58924,245946,38470,2079,17506,1802,20016,56803,862,774822,1043277,0,195051,200,858563,41300,63793,872564,11997,69783,1819646,209,56940,0,497664,20201,24848
4034_4,1824,13179,2051,13941,162009,201898,162489,29008742,5535346,9201,120966,201033,568308,1018328,234839,7345709,6234439,6995,63860,72603,4264036,41405,9221,71849,1661693,1905429,3352392,27929,80560,86042,45850,62483,0,57595,380904,26601,21244,101197,31126,758676,150519,1968659,101744,6037,98221,12302,61308,84061,577352,814071,765762,1344202,7933,126235,87735,30662,3823752,126365,13113,18969,16831766,44564036,23474,77953,90545,190880,3169,167300,52547,9776,53150,418905,631074,517999,1044013,114733,149286,1362732,627786,2084824,6031265,7116212,22765,1574301,9137,33530,2034145,59470,545495,7486,21185,2688,167662,43130,62274,25246896,6483,296284,467412,47718,115883,51653,2610,84138,538,13761,56610,643,1521695,1786973,996,435291,527,29195,37663,123169,919793,21250,3549,12426,3289,33518,114,580499,90170,23021
4035_1,23500,8136,407,8668,60281,125744,183444,24054752,5705492,3920,185547,269029,457268,530083,143048,6677069,2954002,9423,31825,76951,5869484,37730,11623,42978,522070,1119634,4155848,20236,25806,100696,40855,35949,0,33286,448266,21287,10676,61857,15918,499595,122482,383698,221855,5770,123109,10718,14813,58841,345024,660790,256119,2096958,115228,26389,52944,17686,2373283,62929,4481,12889,9412198,25997956,26401,76083,102516,221361,4174,77391,22216,5336,6915,17585,41807,353857,185710,114521,79353,591052,326930,1507680,88142,5471037,15709,127543,8970,17946,514857,52078,61967,4368,11327,1404,31674,28309,1052556,16107918,4917,47875,237261,11478,376417,29728,340,6330,0,30871,42412,2817,586512,3096708,0,304342,248,4702,16195,108388,3420162,13730,4286,6325734,5,5262,0,261831,18342,29469
4035_2,5570,9091,385,10163,45592,98226,192365,26855254,5112252,5124,54593,186545,651879,517950,121507,7548902,2143044,12198,38865,60989,5456478,33568,15588,1530,483434,1163174,4287174,18937,9421,4952,25163,38361,0,45325,715771,19908,9785,43859,23778,439046,2016,393966,122543,8581,34089,7461,5845,72250,462806,674175,347156,2372926,40224,27667,59552,20499,2896246,76939,22278,15536,9779164,26128838,36683,137911,184549,463110,765,125163,19074,5033,9615,23333,7381,351860,73677,104127,85595,665319,333777,1561220,195707,7402153,22919,4280,11310,14617,2064,45169,115392,4857,9623,660,25499,44630,734787,14712562,5142,39091,211210,14080,513613,24806,739,13470,217,36204,60528,391,514822,2408876,492,501636,152,2845,13103,121947,1156802,14402,3006,2850416,473,339,0,132,1515,19626
4035_3,5179,11633,820,8791,36525,94763,263655,23187388,4724792,5059,48989,174243,632763,485442,114532,6724646,1976174,11712,38909,60028,5012969,30827,16827,7159,608403,1116156,4311927,19401,11037,1021,23893,35525,0,39557,648623,20370,10473,40559,22305,367394,2394,359422,154550,8088,38617,6074,4857,64656,443729,750304,341741,2321323,49020,29284,53856,18429,2961192,74320,15203,14056,8611326,25860746,37197,146512,193703,426603,1679,107595,17611,5005,9418,11973,6393,343157,71146,98928,74072,623283,316825,1499695,228558,7134792,18713,5362,8273,17037,2200,44623,107132,4215,8372,2322,35978,45858,521707,14178754,6159,35387,204616,22591,441356,22520,1795,16101,477,30737,58861,0,643609,2169846,532,508460,474,1987,11054,135826,1140218,13681,2229,2553272,228,384,0,0,1498,27082
4035_4,1099,11170,249,11024,80203,123273,134577,26090258,4772050,4626,102081,264196,703702,584645,129818,6805235,2537105,12467,33968,69769,5567344,33900,12743,24796,912733,1224435,3931246,20598,21141,51384,68311,41849,0,50515,794977,24491,14648,52304,22742,571785,67124,415610,149017,6384,74403,8349,13026,63938,392084,644948,332838,2429168,19418,39323,68770,23248,2701772,65549,2714,12238,11593111,32836124,25777,50507,64183,136501,4507,113064,33950,5566,10195,45031,40661,332629,122512,108561,100646,658239,357827,1388664,188847,6258597,17153,106094,12502,14090,247347,56374,107282,3100,10754,1767,23581,48176,1194912,22505036,5866,51729,271931,20830,719023,35226,927,8578,185,31881,64746,1264,499662,2461325,803,386995,246,8924,11451,154621,1705844,19049,2621,2515510,179,4672,193,183212,8798,28933
4036_1,2419,8441,883,11723,100130,193505,22281,37567808,6662464,9967,53709,283133,611730,933579,153813,5893775,2583156,10009,56798,78318,5253442,42142,19923,43564,642313,996570,6422892,21931,24965,23425,33103,45572,0,44388,188364,39130,12983,55765,29932,547677,64766,201796,75000,6592,109447,21733,18742,47957,395600,1073498,270716,2543708,12747,40328,57216,13811,2650435,115575,38810,22363,14202779,40800068,37782,74066,101004,201375,7090,87992,34557,7927,12221,81219,92299,338778,38148,146046,114588,1814212,355353,1833220,446252,7794100,20102,438898,4264,23813,247338,56099,209975,11042,9644,5619,27048,34519,39666,27825136,15365,48413,411922,120662,123074,39168,1562,20218,1952,13052,51909,1676,1214832,1844672,0,428703,103,190620,9153,103556,840505,11486,22087,2123640,1144,56164,20,405294,10316,34879
