,feature,coef.treatment_group,stderr.treatment_group,pval.treatment_group,qval.treatment_group,coef.responder_group,stderr.responder_group,pval.responder_group,qval.responder_group
53,cxcl5,0.0522720733799503,0.0369720278667059,0.15862270560172,0.201664895399027,0.0264908863602752,0.0372484738901201,0.477956273192402,0.513261135088892
54,ccl28,0.0698992933413613,0.049621274733665,0.160145652228639,0.201664895399027,0.0869266032029609,0.0496700063082641,0.0819407166485705,0.142870993130841
55,fgf19,0.0886933841549891,0.0662915040383942,0.182101937725546,0.225144213915221,0.0798436791587233,0.0617603796522407,0.197866730392293,0.240266744047785
56,mmp1,0.0400250271640842,0.0307501705450879,0.194211963123005,0.234249486846788,0.0269062515751396,0.0309054745295584,0.385223283104171,0.422502955662639
57,il12b,0.0449558463449288,0.0347727083978883,0.19722447057132,0.234249486846788,0.032236158112647,0.0344093246251079,0.350191810559276,0.39688405196718
58,ccl23,0.0622580593460159,0.048458937828168,0.200033248913615,0.234249486846788,0.0581816975698279,0.0477865968786473,0.225119554527443,0.26856367908537
59,casp8,0.0857989688865815,0.0672612314862214,0.203245878293536,0.234249486846788,0.124639839252923,0.0641608065626024,0.0537445216536605,0.107489043307321
60,enrage,0.0632414904654442,0.0600704777609044,0.293426895648996,0.33250002174996,0.138185274895568,0.0553636842659424,0.0135321500107057,0.0657275857662848
61,mmp10,0.0481628641099323,0.0462101705783379,0.298272078334523,0.33250002174996,0.0628737866307251,0.0463724285241255,0.176979343338085,0.218810824490723
62,il7,0.0436222305045028,0.0557745950485115,0.434866102772852,0.476949919170225,0.0149534722988389,0.057923515682967,0.796602133936533,0.820219238117509
63,cdcp1,0.031080274044339,0.0428830008608992,0.469253025948442,0.506495329595144,0.0441178437031925,0.0434380954284443,0.311265912971732,0.358747153933522
64,ifngamma,0.035925434228501,0.0575916225428864,0.533314717515755,0.56664688736049,0.0736195859520949,0.0533612201014021,0.169540198193902,0.21752327315444
65,cxcl9,0.0183723031295386,0.0409344259073552,0.653937707422501,0.684119447765078,0.0420829355003756,0.0406176072104451,0.30166451339008,0.35367563638837
66,ccl20,0.00741495691445338,0.0506775765095093,0.883786379616872,0.910567785059808,0.0122968717902449,0.0505650147739767,0.808157190498134,0.820219238117509
67,il6_inflam,-0.00582254307271576,0.0532306703831949,0.912983887646137,0.926610512834886,-0.024822676845396,0.0353124440715665,0.483069303613075,0.513261135088892
68,il17c,0.00289896556048398,0.0569045728664024,0.959409450398977,0.959409450398977,-0.0144744460105034,0.0542722815245879,0.790028781400621,0.820219238117509
