,microbiome_OTU.1,microbiome_OTU.5,microbiome_OTU.60,microbiome_OTU.87,microbiome_OTU.94,microbiome_OTU.101,microbiome_OTU.116,microbiome_OTU.118,microbiome_OTU.191,microbiome_OTU.225,microbiome_OTU.268,microbiome_OTU.372,microbiome_OTU.417,microbiome_OTU.480,microbiome_OTU.536,microbiome_OTU.557,microbiome_OTU.590,microbiome_OTU.628,microbiome_OTU.663,microbiome_OTU.1004,microbiome_OTU.1014,microbiome_OTU.1042
4029_1,0.544019398720286,-0.222732921860335,-1.20418439943344,0.539153999244665,-0.781341573379855,0.071149563917511,-0.666970548333307,0.262979705156373,1.07114944554711,-1.70847377211863,0.465838436658129,-0.497655749267766,0.606253117185646,0.308972987271645,1.04398203393955,-0.949666616475583,1.27362482968351,0.0451335398329475,0.872473567931459,-0.519183251088551,-0.893843457152753,-0.699014630611018
4029_2,-0.173375761684762,0.565214771211525,-3.65570623263398,0.280724544887995,0.042271608787424,0.350847710543866,-3.26225317696211,0.232715577301835,0.985746012012993,-1.09233311368961,0.424104017754196,-2.32650436977985,0.215955013680449,0.89657139180526,1.10616677714325,-0.502825055722665,1.03925380546258,-1.12840811780841,1.51958438820138,0.349613328562474,-0.112943628817764,1.85987313951755
4029_3,0.294607995331922,0.0634598017217691,-0.452865299865881,0.80677509511318,-2.89602432625308,-0.0029329165132603,-3.52080803501049,0.355225285380828,1.12335218508249,-1.23595266524242,0.675621385103733,-2.558340975193,0.762767526762103,0.385880973615515,1.30417326183635,-0.501599213880276,1.34971114855315,-1.29144032256741,0.860525977034881,2.6671222605086,-0.294967784534236,-0.0177940333988336
4029_4,0.690633088975644,-0.13272230308382,-1.13472755640541,0.387419546918562,-0.517859843052359,0.0562910691785026,-0.341085013747477,0.163194131008368,1.19035115688255,-1.90005568232074,0.577048595289587,-0.140853793214767,0.250866761036279,0.129255865767657,1.29105194248312,-1.13133386401082,1.16987641582347,-0.0640022929156023,1.33802472467369,-0.789325638268437,-1.13665535203787,-0.975212966269961
4029_5,0.713888628351658,-0.121128296820272,-0.869343774947039,-0.048623738095057,-3.83270179247462,0.154149476842199,-0.446809427774381,-0.0365850089746853,1.12630709648273,-1.81687502922771,0.536157434966942,-0.024561415108177,0.262527926705851,0.383057396097476,1.41729615745626,-1.05245793945379,1.17260994400336,-0.519047201108473,1.38098965671872,-0.672035753383031,1.33274916147605,-0.855293721707254
4030_1,2.54114518320568,3.04131788440666,2.87886239802135,-3.1431032612794,1.8689391117477,-1.1357303168837,-2.48515499253761,-1.88111297137087,-0.550260690781316,-0.660678131060509,-1.241794271603,1.98929820637511,-1.16358579500621,-1.54153082605612,-0.00455723738107951,0.0439039658912033,-0.270899361819038,1.24582443421095,-0.356194128384858,0.958273652089384,0.434138108483045,0.811563335052065
4030_2,2.43370208519582,3.0009584316963,2.38350601473172,-3.09520010775619,2.0625825132173,-1.10857761547327,-2.44091425335219,-1.84059307321392,-0.526797418831799,-0.636103713197567,-1.20774785103671,2.08753529541105,-1.12723523084152,-1.50130000388654,0.0170201314337426,0.0672066193005564,-0.245268451082621,1.00341351735188,-0.329635899111643,0.99292510690601,0.465283851631262,0.846991592899436
4030_3,3.10315159495542e-16,-2.82573265240647e-15,2.53957508169806e-16,-1.90405967784532e-15,-3.37493090441417e-16,7.70906060273739e-17,0,2.30084178945595e-16,2.66463041983513e-16,0,-1.4499436841539e-16,1.68939559156749e-16,-2.58011806867263e-17,-5.71106796180553e-17,-2.45045590605105e-16,1.32319480571665e-16,0,0,3.77014050782356e-16,-1.96761391153342e-15,-5.30564715055563e-16,-8.04689250373775e-16
4030_4,3.10315159495542e-16,-2.82573265240647e-15,2.53957508169806e-16,-1.90405967784532e-15,-3.37493090441417e-16,7.70906060273739e-17,0,2.30084178945595e-16,2.66463041983513e-16,0,-1.4499436841539e-16,1.68939559156749e-16,-2.58011806867263e-17,-5.71106796180553e-17,-2.45045590605105e-16,1.32319480571665e-16,0,0,3.77014050782356e-16,-1.96761391153342e-15,-5.30564715055563e-16,-8.04689250373775e-16
4030_5,3.10315159495542e-16,-2.82573265240647e-15,2.53957508169806e-16,-1.90405967784532e-15,-3.37493090441417e-16,7.70906060273739e-17,0,2.30084178945595e-16,2.66463041983513e-16,0,-1.4499436841539e-16,1.68939559156749e-16,-2.58011806867263e-17,-5.71106796180553e-17,-2.45045590605105e-16,1.32319480571665e-16,0,0,3.77014050782356e-16,-1.96761391153342e-15,-5.30564715055563e-16,-8.04689250373775e-16
